Liste over Bildetema-termer som skal oversettes til kvensk									
Tilrettelagt av Øystein Reigem, Uni Research Computing, 2017-01-11									
									
id	lenke til Bildetema HTML5	lenke til Bildetema Flash	svensk	bokmål	engelsk	kvensk	oversetterens kommentarer		
&w01051	Bildetema HTML5	Bildetema Flash	Jans morbror	Jans onkel	Jan's uncle	Janin eno			
&w01052	Bildetema HTML5	Bildetema Flash	Henriks svåger	Henriks svoger	Henrik's brother-in-law	Henrikin suokerimies, Henrikin suokeriveli			
&w01060	Bildetema HTML5	Bildetema Flash	Stina	Stina	Stina	Stina			
&w01061	Bildetema HTML5	Bildetema Flash	Jans moster	Jans tante	Jan's aunt	Janin täti			
&w01062	Bildetema HTML5	Bildetema Flash	Henriks svägerska	Henriks svigerinne	Henrik's sister-in-law	Henrikin suokerisisar			
&w01070	Bildetema HTML5	Bildetema Flash	Ulla	Ulla	Ulla	Ulla			
&w01080	Bildetema HTML5	Bildetema Flash	Rosita	Rosita	Rosita	Rosita			
&w01081	Bildetema HTML5	Bildetema Flash	Jans moster	Jans tante	Jan's aunt	Janin täti			
&w01082	Bildetema HTML5	Bildetema Flash	Henriks svägerska	Henriks svigerinne	Henrik's sister-in-law	Henrikin suokerisisar			
&w01083	Bildetema HTML5	Bildetema Flash	Evas svägerska	Evas svigerinne	Eva's sister-in-law	Evan suokerisisar			
&w01084	Bildetema HTML5	Bildetema Flash	Lars och Astrids sonhustru/svärdotter	Lars og Astrids svigerdatter	Lars and Astrid's daughter-in-law	Larsin ja Astridin minnii, Larsin ja Astridin miniä			
&w01090	Bildetema HTML5	Bildetema Flash	Susanne	Susanne	Susanne	Susanne			
&w01091	Bildetema HTML5	Bildetema Flash	Jans kusin	Jans kusine	Jan's (female) cousin	Janin nepu			
&w01100	Bildetema HTML5	Bildetema Flash	Eva	Eva	Eva	Eva			
&w01101	Bildetema HTML5	Bildetema Flash	Jans mamma/mor/moder/morsa	Jans mamma/mor	Jan's mum/mother	Janin muori			
&w01102	Bildetema HTML5	Bildetema Flash	Henriks fru/hustru/maka	Henriks kone/ektefelle	Henrik's wife/spouse	Henrikin ämmä			
&w01110	Bildetema HTML5	Bildetema Flash	Henrik	Henrik	Henrik	Henrik			
&w01111	Bildetema HTML5	Bildetema Flash	Jans pappa/far/fader/farsa	Jans pappa/far	Jan's dad/father	Janin faari, Janin pappa			
&w01112	Bildetema HTML5	Bildetema Flash	Evas man/make	Evas mann/ektefelle	Eva's husband/spouse	Evan äijä			
&w01113	Bildetema HTML5	Bildetema Flash	Lars och Astrids svärson/måg	Lars og Astrids svigersønn	Lars and Astrid's son-in-law	Larsin ja Astridin vävy			
&w01120	Bildetema HTML5	Bildetema Flash	Jan	Jan	Jan	Jan			
&w01121	Bildetema HTML5	Bildetema Flash	Jan är Evas och Henriks barn	Jan er Eva og Henriks barn	Jan is the child of Eva and Henrik	Jan oon Evan ja Henrikin lapsi			
&w01122	Bildetema HTML5	Bildetema Flash	Henriks son	Henriks sønn	Henrik's son	Henrikin poika			
&w01123	Bildetema HTML5	Bildetema Flash	Evas son	Evas sønn	Eva's son	Evan poika			
&w01124	Bildetema HTML5	Bildetema Flash	Johannas och Everts sonson	Johanna og Everts barnebarn	Johanna and Evert's grandchild	Johannan ja Evertin lapsenlapsi (pojanpoika)			
&w01130	Bildetema HTML5	Bildetema Flash	Erika	Erika	Erika	Erika			
&w01131	Bildetema HTML5	Bildetema Flash	Jans syster/syrra	Jans søster	Jan's sister	Janin sisar			
&w01132	Bildetema HTML5	Bildetema Flash	Henriks dotter	Henriks datter	Henrik's daughter	Henrikin tytär			
&w01133	Bildetema HTML5	Bildetema Flash	Evas dotter	Evas datter	Eva's daughter	Evan tytär			
&w01134	Bildetema HTML5	Bildetema Flash	Johannas och Everts sondotter	Johanna og Everts barnebarn	Johanna and Evert's grandchild	Johannan ja Evertin lapsenlapsi (pojantytär)			
&w01140	Bildetema HTML5	Bildetema Flash	David	David	David	David			
&w01141	Bildetema HTML5	Bildetema Flash	Jans bror/brorsa	Jans bror	Jan's brother	Janin veli			
&w01142	Bildetema HTML5	Bildetema Flash	Henriks son	Henriks sønn	Henrik's son	Henrikin poika			
&w01143	Bildetema HTML5	Bildetema Flash	Evas son	Evas sønn	Eva's son	Evan poika			
&w01144	Bildetema HTML5	Bildetema Flash	Georgs brorson	Georgs nevø	Georg's nephew	Georgin veljenpoika			
&w01150	Bildetema HTML5	Bildetema Flash	Rita	Rita	Rita	Rita			
&w01151	Bildetema HTML5	Bildetema Flash	Jans faster	Jans tante	Jan's aunt	Janin täti			
&w01152	Bildetema HTML5	Bildetema Flash	Evas svägerska	Evas svigerinne	Eva's sister-in-law	Evan suokerisisar			
&w01160	Bildetema HTML5	Bildetema Flash	Georg	Georg	Georg	Georg			
&w01161	Bildetema HTML5	Bildetema Flash	Jans farbror	Jans onkel	Jan's uncle	Janin setä			
&w01162	Bildetema HTML5	Bildetema Flash	Evas svåger	Evas svoger	Eva's brother-in-law	Evan suokerimies, Evan suokeriveli			
&w01170	Bildetema HTML5	Bildetema Flash	Karl	Karl	Karl	Karl			
&w01171	Bildetema HTML5	Bildetema Flash	Evas svåger	Evas svoger	Eva's brother-in-law	Evan suokerimies, Evan suokeriveli			
&w01172	Bildetema HTML5	Bildetema Flash	Jans farbror	Jans onkel	Jan's uncle	Janin setä			
&w01180	Bildetema HTML5	Bildetema Flash	Peter	Peter	Peter	Peter			
&w01181	Bildetema HTML5	Bildetema Flash	Jans farbror	Jans onkel	Jan's uncle	Janin setä			
&w01182	Bildetema HTML5	Bildetema Flash	Evas svåger	Evas svoger	Eva's brother-in-law	Evan suokerimies, Evan suokeriveli			
&w01183	Bildetema HTML5	Bildetema Flash	Victorias styvfar	Victorias stefar	Victoria's stepfather	Victorian faaripuoli, Victorian pappapuoli			
&w01190	Bildetema HTML5	Bildetema Flash	Gustav	Gustav	Gustav	Gustav			
&w01191	Bildetema HTML5	Bildetema Flash	Jans kusin	Jans fetter	Jan's (male) cousin	Janin nepu			
&w01200	Bildetema HTML5	Bildetema Flash	Victoria	Victoria	Victoria	Victoria 			
&w01201	Bildetema HTML5	Bildetema Flash	Jans kusin	Jans kusine	Jan's (female) cousin	Janin nepu			
&w01210	Bildetema HTML5	Bildetema Flash	Patrik	Patrik	Patrik	Patrik			
&w01211	Bildetema HTML5	Bildetema Flash	Jans kusin	Jans fetter	Jan's (male) cousin	Janin nepu			
&w01212	Bildetema HTML5	Bildetema Flash	Victorias halvbror	Victorias halvbror	Victoria's half-brother	Victorian velipuoli			
&w01220	Bildetema HTML5	Bildetema Flash	My	My	My	My			
&w01221	Bildetema HTML5	Bildetema Flash	Jans kusin	Jans kusine	Jan's (female) cousin	Janin nepu			
&w01222	Bildetema HTML5	Bildetema Flash	Victorias halvsyster	Victorias halvsøster	Victoria's half-sister	Victorian sisarpuoli			
&w01501	Bildetema HTML5	Bildetema Flash	en familj	en familie	a family	peret			
&w01502	Bildetema HTML5	Bildetema Flash	Henrik, Rita och Georg är Johannas och Everts barn	Henrik, Rita og Georg er Johanna og Everts barn	Henrik, Rita and Georg are the children of Johanna and Evert	Henrik, Rita ja Georg oon Johannan ja Evertin lapset			
&w01503	Bildetema HTML5	Bildetema Flash	Harald, Stina, Ulla och Eva är Astrids och Lars barn	Harald, Stina, Ulla og Eva er Astrid og Lars' barn	Harald, Stina, Ulla and Eva are the children of Astrid and Lars	Harald, Stina, Ulla ja Eva oon Astridin ja Larsin lapset			
&w01504	Bildetema HTML5	Bildetema Flash	Jan, Erika och David är:	Jan, Erika og David er:	Jan, Erika and David are:	Jan, Erika ja David oon:			
&w01505	Bildetema HTML5	Bildetema Flash	Astrid och Lars barnbarn	Astrid og Lars' barnebarn	Astrid and Lars' grandchildren	Astridin ja Larsin lapsenlapset			
&w01506	Bildetema HTML5	Bildetema Flash	Johannas och Everts barnbarn	Johanna og Everts barnebarn	Johanna and Evert's grandchildren	Johannan ja Evertin lapsenlapset			
									
&c2	Bildetema HTML5	Bildetema Flash	Människokroppen – yttre delar	Kroppen vår utvendig	Human body – external parts	Ihmisen kroppi - ulkopuoli			
									
&s2_1	Bildetema HTML5	Bildetema Flash	människa	menneske	human	ihminen			
									
&w1013	Bildetema HTML5	Bildetema Flash	en pojke	gutt	boy	poika			
&w152	Bildetema HTML5	Bildetema Flash	en brud	brud	bride	morssii, morsian			
&w153	Bildetema HTML5	Bildetema Flash	en brudgum	brudgom	bridegroom	yrkä			
&w160	Bildetema HTML5	Bildetema Flash	ett bröllop	bryllup	wedding	häät			
&w177	Bildetema HTML5	Bildetema Flash	en bål	bol	trunk	kroppi			
&w23-b	Bildetema HTML5	Bildetema Flash	en arm	arm	arm	käsi			
&w321	Bildetema HTML5	Bildetema Flash	en flicka	jente	girl	tytär			
&w341	Bildetema HTML5	Bildetema Flash	ett foster	foster	foetus	sikkii, sikiö			
&w409	Bildetema HTML5	Bildetema Flash	en gravid (kvinna)	gravid (kvinne)	pregnant (woman)		heijostillaa AE, pienenvasten, poikinvasten		
&w515	Bildetema HTML5	Bildetema Flash	ett huvud	hode	head	pää			
&w69	Bildetema HTML5	Bildetema Flash	ett barn	barn	child	lapsi			
&w710	Bildetema HTML5	Bildetema Flash	en kvinna	kvinne	woman	vaimo			
&w80-b	Bildetema HTML5	Bildetema Flash	ett ben	bein	leg	jalka			
&w821	Bildetema HTML5	Bildetema Flash	en man	mann	man	mies			
									
&s2_2	Bildetema HTML5	Bildetema Flash	kropp	kropp	body	kroppi			
									
&w1089	Bildetema HTML5	Bildetema Flash	en rygg	rygg	back	sölkä, selkä			
&w1190	Bildetema HTML5	Bildetema Flash	en skuldra	skulder	shoulder	olka, olkapää, harttii, hartia			
&w1292	Bildetema HTML5	Bildetema Flash	en stjärt	ende	bottom	perset, perse			
&w1417	Bildetema HTML5	Bildetema Flash	en tinning	tinning	temple	ohimo			
&w1517	Bildetema HTML5	Bildetema Flash	en vad	tykklegg	calf	säärilihas			
&w1571	Bildetema HTML5	Bildetema Flash	en vrist	vrist	ankle	nilkka			
&w161	Bildetema HTML5	Bildetema Flash	ett bröst	bryst	chest	rinta			
&w163	Bildetema HTML5	Bildetema Flash	en buk	mage	belly	vatta			
&w17-b	Bildetema HTML5	Bildetema Flash	ett ansikte	ansikt	face	muođot, kasvot			
&w23-a	Bildetema HTML5	Bildetema Flash	en arm	arm	arm	käsi			
&w26	Bildetema HTML5	Bildetema Flash	en armbåge	albue	elbow	kyynespää			
&w27	Bildetema HTML5	Bildetema Flash	en armhåla	armhule	armpit	kainalo			
&w342	Bildetema HTML5	Bildetema Flash	en fot	fot	foot	jalka, ketara			
&w43-a	Bildetema HTML5	Bildetema Flash	en axel	skulder	shoulder	olka, olkapää, harttii, hartia			
&w458	Bildetema HTML5	Bildetema Flash	en hals	hals	neck	kaula, kurkku			
&w531	Bildetema HTML5	Bildetema Flash	en häl	hæl	heel	kantapää			
&w535	Bildetema HTML5	Bildetema Flash	en höft	hofte	hip	jorva			
&w619	Bildetema HTML5	Bildetema Flash	en kind	kinn	cheek	poski			
&w643	Bildetema HTML5	Bildetema Flash	ett knä	kne	knee	polvi			
&w646	Bildetema HTML5	Bildetema Flash	ett knäveck	knehase	hollow of the knee	polviväkki, polvitaitet	polvivekki/polviväkki? MK: polvitaivet, polvitaive		
&w720	Bildetema HTML5	Bildetema Flash	en käke	kjeve	jaw	leuka			
&w764	Bildetema HTML5	Bildetema Flash	en ljumske	lyske	groin	lyski, nivunen			
&w789	Bildetema HTML5	Bildetema Flash	ett lår	lår	thigh	reisi			
&w80-a	Bildetema HTML5	Bildetema Flash	ett ben	bein	leg	jalka, ketara			
&w852	Bildetema HTML5	Bildetema Flash	en midja	midje	waist	vyötärä			
&w884	Bildetema HTML5	Bildetema Flash	en mun	munn	mouth	suu			
&w915	Bildetema HTML5	Bildetema Flash	en nacke	nakke	back of the neck	niska			
&w923	Bildetema HTML5	Bildetema Flash	en navel	navle	navel	napa			
&w943	Bildetema HTML5	Bildetema Flash	en näsa	nese	nose	nokka			
									
&s2_3	Bildetema HTML5	Bildetema Flash	huvud	hode	head	pää			
									
&w1040	Bildetema HTML5	Bildetema Flash	en pupill	pupill	pupil	pupilli			
&w1200	Bildetema HTML5	Bildetema Flash	ett skägg	skjegg	beard	parta			
&w1299	Bildetema HTML5	Bildetema Flash	en strupe	strupe	throat	kurkku			
&w1489	Bildetema HTML5	Bildetema Flash	en tår	tåre	tear	kyynelet, kyynel			
&w1623	Bildetema HTML5	Bildetema Flash	ett öga	øye	eye	silmä			
&w1624	Bildetema HTML5	Bildetema Flash	ett ögonbryn	øyebryn	eyebrow	kulmakarva			
&w1625	Bildetema HTML5	Bildetema Flash	en ögonfrans	øyevippe	eyelash	silmäkarva			
&w1626	Bildetema HTML5	Bildetema Flash	ett ögonlock	øyelokk	eyelid	silmäluomi			
&w1628	Bildetema HTML5	Bildetema Flash	ett öra	øre	ear	korva			
&w17-a	Bildetema HTML5	Bildetema Flash	ett ansikte	ansikt	face	muođot, kasvot			
&w453	Bildetema HTML5	Bildetema Flash	en haka	hake	chin	leuka			
&w525	Bildetema HTML5	Bildetema Flash	ett hår	hår	hair	hykset			
&w774	Bildetema HTML5	Bildetema Flash	en lugg	lugg	fringe, bangs	ottahykset			
&w798	Bildetema HTML5	Bildetema Flash	en läpp	leppe	lip	huuli			
&w82	Bildetema HTML5	Bildetema Flash	en bena	skill	parting	hyksijakkaus			
&w894	Bildetema HTML5	Bildetema Flash	en mustasch	bart	moustache	parta			
&w944	Bildetema HTML5	Bildetema Flash	en näsborre	nesebor	nostril	nokkareikä			
&w973-a	Bildetema HTML5	Bildetema Flash	en panna	panne	forehead	otta			
									
&s2_4	Bildetema HTML5	Bildetema Flash	mun	munn	mouth	suu			
									
&w1082-a	Bildetema HTML5	Bildetema Flash	en rot	(tann-)rot	root	(hammas-)juuri			
&w1382	Bildetema HTML5	Bildetema Flash	tand	tann	tooth	hammas			
&w1385	Bildetema HTML5	Bildetema Flash	tandkött	tannkjøtt	gums	ien			
&w1466	Bildetema HTML5	Bildetema Flash	en tunga	tunge	tongue	kieli			
&w1562	Bildetema HTML5	Bildetema Flash	en visdomstand	visdomstann	wisdom tooth	viissauđenhammas, viishauenhammas			
&w349	Bildetema HTML5	Bildetema Flash	en framtand	fortann	front tooth	etuhammas			
&w402	Bildetema HTML5	Bildetema Flash	en gom	gane	palate	suunlaki			
&w546	Bildetema HTML5	Bildetema Flash	en hörntand	hjørnetann	canine tooth	nurkkahammas			
&w620	Bildetema HTML5	Bildetema Flash	en kindtand	jeksel	molar	poskihammas			
&w683-a	Bildetema HTML5	Bildetema Flash	en krona	(tann-)krone	crown	(hammas-)kruunu			
									
&s2_5	Bildetema HTML5	Bildetema Flash	hand	hånd	hand	käsi			
									
&w1075	Bildetema HTML5	Bildetema Flash	ett ringfinger	ringfinger	ring finger	piikastrilli, kultatrilli			
&w1295	Bildetema HTML5	Bildetema Flash	en stortå	stortå	big toe	isovarvas			
&w1464	Bildetema HTML5	Bildetema Flash	en tumme	tommel	thumb	peukalo			
&w1485	Bildetema HTML5	Bildetema Flash	en tå	tå	toe	varvas			
&w1637	Bildetema HTML5	Bildetema Flash	en lilltå	lilletå	little toe	pikkuvarvas			
&w307	Bildetema HTML5	Bildetema Flash	ett finger	finger	finger	sormi			
&w473	Bildetema HTML5	Bildetema Flash	en handflata	håndflate	palm	kämmen, pijo			
&w474	Bildetema HTML5	Bildetema Flash	en handled	håndledd	wrist	käsijäsen			
&w752	Bildetema HTML5	Bildetema Flash	ett lillfinger	lillefinger	little finger, pinkie	pikkusormi, pikkutrilli			
&w787	Bildetema HTML5	Bildetema Flash	ett långfinger	langfinger	middle finger	lankamanni			
&w916	Bildetema HTML5	Bildetema Flash	en nagel	negl	nail	kynsi			
&w984	Bildetema HTML5	Bildetema Flash	ett pekfinger	pekefinger	index finger, forefinger	etusormi, suomen sukki			
									
&c3	Bildetema HTML5	Bildetema Flash	Människokroppen – inre delar	Kroppen vår innvendig	Human body – internal parts	Ihmisen kroppi - sisäpuoli			
									
&s3_1	Bildetema HTML5	Bildetema Flash	matsmältning	fordøyelse	digestion	ruovansulatus			
									
&w102	Bildetema HTML5	Bildetema Flash	en blindtarm	blindtarm	appendix	umpusuoli			
&w1617	Bildetema HTML5	Bildetema Flash	en ändtarm	endetarm	rectum	pöräsuoli, peräsuoli			
&w1638	Bildetema HTML5	Bildetema Flash	en galla	galle	bile	sappi			
&w1639	Bildetema HTML5	Bildetema Flash	en magsäck	magesekk	stomach	vattalaukku			
&w1640	Bildetema HTML5	Bildetema Flash	en tunntarm	tynntarm	small intestine	ohutsuoli			
&w1641	Bildetema HTML5	Bildetema Flash	en tjocktarm	tykktarm	large intestine	paksusuoli			
&w496	Bildetema HTML5	Bildetema Flash	en hjärna	hjerne	brain	aivot			
&w748	Bildetema HTML5	Bildetema Flash	en lever	lever	liver	maksa			
									
&s3_2	Bildetema HTML5	Bildetema Flash	hjärta	hjerte	heart	syđän, syän			
									
&w107	Bildetema HTML5	Bildetema Flash	blod(et)	blod	blood	veri			
&w108	Bildetema HTML5	Bildetema Flash	ett blodkärl	blodkar	blood vessel	verisuoni			
&w1360	Bildetema HTML5	Bildetema Flash	ett sår	sår	wound	haava			
&w1535	Bildetema HTML5	Bildetema Flash	en ven	vene	vein	laskusuoni	pääsuoni?		
&w1642	Bildetema HTML5	Bildetema Flash	en hjärtmuskel	(hjerte)muskel	cardiac muscle	syđänlihas, syänlihas			
&w1643	Bildetema HTML5	Bildetema Flash	ett kranskärl	kransarterie	coronary artery	kransarteeri			
&w18	Bildetema HTML5	Bildetema Flash	en aorta	aorta	aorta	aorta			
&w29	Bildetema HTML5	Bildetema Flash	en artär	arterie	artery	syđänsuoni, syänsuoni			
&w497	Bildetema HTML5	Bildetema Flash	ett hjärta	hjerte	heart	syđän, syän			
&w892	Bildetema HTML5	Bildetema Flash	en muskel	muskel	muscle	lihas			
									
&s3_3	Bildetema HTML5	Bildetema Flash	andning	åndedrett	breathing	hengitys			
									
&w772	Bildetema HTML5	Bildetema Flash	ett luftrör	bronkie	bronchial tube	keuhkoputki			
&w773	Bildetema HTML5	Bildetema Flash	en luftstrupe	luftrør	windpipe	henkirööri			
&w776	Bildetema HTML5	Bildetema Flash	en lunga	lunge	lung	keuhko			
&w777	Bildetema HTML5	Bildetema Flash	en lungsäck	lungesekk	pleura	keuhkosäkki			
&w927	Bildetema HTML5	Bildetema Flash	en njure	nyre	kidney	munhainen			
									
&s3_4	Bildetema HTML5	Bildetema Flash	skelett	skjelett	skeleton	šjeletti			
									
&w1072	Bildetema HTML5	Bildetema Flash	ett revben	ribbein	rib	kylkiluu			
&w1090	Bildetema HTML5	Bildetema Flash	en ryggrad	ryggrad	backbone	sölkäranka, selkäranka			
&w1158	Bildetema HTML5	Bildetema Flash	en skalle	skalle	skull	kallo			
&w1164	Bildetema HTML5	Bildetema Flash	ett skenben	skinnebein	shinbone	sääriluu			
&w1189	Bildetema HTML5	Bildetema Flash	ett skulderblad	skulderblad	shoulder blade	lapaluu			
&w162	Bildetema HTML5	Bildetema Flash	en bröstkorg	brystkasse	rib cage	rintakassa			
&w1644	Bildetema HTML5	Bildetema Flash	ett vadben	leggbein	fibula	sääriluu			
&w1645	Bildetema HTML5	Bildetema Flash	en underkäke	(under)kjeve	lower jaw	alaleuka			
&w1646	Bildetema HTML5	Bildetema Flash	en överkäke	(over)kjeve	upper jaw	ylileuka			
&w181	Bildetema HTML5	Bildetema Flash	ett bäcken	bekken	pelvis	ronkka			
&w645	Bildetema HTML5	Bildetema Flash	en knäskål	kneskål	kneecap	polvimalja			
&w672	Bildetema HTML5	Bildetema Flash	en kota	ryggvirvel	vertebra	sölkävirveli, selkävirveli			
&w747	Bildetema HTML5	Bildetema Flash	en led	ledd	joint	nivel			
&w790	Bildetema HTML5	Bildetema Flash	ett lårben	lårbein	femur	reisiluu			
&w81	Bildetema HTML5	Bildetema Flash	ben (del av skelett)	knokkel	bone	luu			
&w934	Bildetema HTML5	Bildetema Flash	ett nyckelben	kragebein	collar bone	kaulaluu			
									
&s3_5	Bildetema HTML5	Bildetema Flash	könsorgan	kjønnsorganer	genitals	sukupuoliorgaanit			
									
&w1033	Bildetema HTML5	Bildetema Flash	en prostata	prostata	prostate	prostaatta			
&w1039	Bildetema HTML5	Bildetema Flash	en pung	pung	scrotum	kulli			
&w1212	Bildetema HTML5	Bildetema Flash	en slida	skjede	vagina	vagina			
&w1409	Bildetema HTML5	Bildetema Flash	en testikel	testikkel	testicle	testikkeli			
&w1511	Bildetema HTML5	Bildetema Flash	en urinblåsa	urinblære	bladder	kusirakko			
&w1647	Bildetema HTML5	Bildetema Flash	en äggstock	eggstokk	ovary	munapesä			
&w1648	Bildetema HTML5	Bildetema Flash	ett urinrör	urinrør	urethra	kusirööri			
&w629	Bildetema HTML5	Bildetema Flash	en klitoris	klitoris	clitoris	klitoris			
&w760	Bildetema HTML5	Bildetema Flash	en livmoder	livmor	uterus, womb	kohtu			
&w952	Bildetema HTML5	Bildetema Flash	ett ollon	penishode	glans	nallinpää			
&w986	Bildetema HTML5	Bildetema Flash	en penis	penis	penis	nalli, penis, nalkku (lapsela)			
									
&c4	Bildetema HTML5	Bildetema Flash	Sjukvård och SOS	Ulykker og sykdom	Medical services and SOS	Tapaturmat ja sairhauđet/sairhauet			
									
&s4_1	Bildetema HTML5	Bildetema Flash	SOS	SOS	SOS	SOS			
									
&w10	Bildetema HTML5	Bildetema Flash	en ambulans	ambulanse	ambulance	ambulanssi			
&w1014	Bildetema HTML5	Bildetema Flash	en polis	politi	police	pulettija			
&w137	Bildetema HTML5	Bildetema Flash	en brand	brann	fire	palo			
&w138-a	c04-sos	c04-sos	brandbil	brannbil	fire engine	palobiili			
&w1400	Bildetema HTML5	Bildetema Flash	en telefonkiosk	telefonkiosk	phone booth	telefuunikioski			
&w178	Bildetema HTML5	Bildetema Flash	en bår	båre	stretcher	paari			
&w186	Bildetema HTML5	Bildetema Flash	en bärgningsbil	bergingsbil	breakdown lorry	pelastusbiili			
&w954	Bildetema HTML5	Bildetema Flash	en olycka	ulykke	accident	tapaturma			
									
&s4_2	Bildetema HTML5	Bildetema Flash	sjukhus	sykehus	hospital	sikhuusi, siukhuusi			
									
&w110	Bildetema HTML5	Bildetema Flash	ett blodprov	blodprøve	blood test	veripröövi			
&w1110	Bildetema HTML5	Bildetema Flash	en röntgen	røntgen	X-ray	röntgen			
&w1144	Bildetema HTML5	Bildetema Flash	ett sjukhus	sykehus	hospital	sikhuusi, siukhuusi			
&w1286	Bildetema HTML5	Bildetema Flash	ett stetoskop	stetoskop	stethoscope	stetoskooppi			
&w1512	Bildetema HTML5	Bildetema Flash	ett urinprov	urinprøve	urine-specimen	kusipröövi			
&w1649	Bildetema HTML5	Bildetema Flash	en patientbricka	pasientkort	patient's card	pasienttikortti			
&w1650	Bildetema HTML5	Bildetema Flash	en röntgenbild	røntgenbilde	X-ray picture	röntgenkuva			
